obsno,grid_code,x_wgs84,y_wgs84,ldi,loss_intensity,miombo_extent,MAT,MAP,soil,access,sciname,P1,P2,P3,P4,P5,ba_P1,ba_P2,ba_P3,ba_P4,ba_P5
1,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Acacia nigrescens,0,0,0,NA,NA,0,0,0,NA,NA
2,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Acacia nigrescens,0,0,0,0,0,0,0,0,0,0
3,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
4,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
5,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Acacia nigrescens,0,0,0,0,NA,0,0,0,0,NA
6,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Acacia nigrescens,0,2,NA,NA,NA,0,667.3,NA,NA,NA
7,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Acacia nigrescens,0,0,0,0,NA,0,0,0,0,NA
8,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
9,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
10,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
11,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Acacia nigrescens,0,NA,NA,NA,NA,0,NA,NA,NA,NA
12,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
13,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
14,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Acacia nigrescens,0,0,0,NA,NA,0,0,0,NA,NA
15,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Acacia nigrescens,11,3,NA,NA,NA,1107.4,5284.2,NA,NA,NA
16,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
17,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
18,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
19,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
20,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Acacia nigrescens,0,0,0,NA,NA,0,0,0,NA,NA
21,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
22,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
23,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
24,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Acacia nigrescens,0,0,0,NA,NA,0,0,0,NA,NA
25,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Acacia nigrescens,0,0,0,0,NA,0,0,0,0,NA
26,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
27,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Acacia nigrescens,0,0,0,0,NA,0,0,0,0,NA
28,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
29,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
30,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
31,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
32,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Acacia nigrescens,0,NA,NA,NA,NA,0,NA,NA,NA,NA
33,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
34,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
35,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
36,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Acacia nigrescens,0,NA,NA,NA,NA,0,NA,NA,NA,NA
37,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Acacia nigrescens,0,0,NA,NA,NA,0,0,NA,NA,NA
38,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Acacia nigrescens,0,0,0,0,0,0,0,0,0,0
39,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Acacia nigrescens,0,0,0,0,0,0,0,0,0,0
40,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Acacia robusta,0,0,0,NA,NA,0,0,0,NA,NA
41,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Acacia robusta,0,0,0,0,0,0,0,0,0,0
42,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
43,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
44,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Acacia robusta,0,0,0,0,NA,0,0,0,0,NA
45,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
46,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Acacia robusta,0,0,0,0,NA,0,0,0,0,NA
47,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
48,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
49,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
50,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Acacia robusta,0,NA,NA,NA,NA,0,NA,NA,NA,NA
51,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
52,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Acacia robusta,0,0,NA,NA,NA,0,0,NA,NA,NA
53,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Acacia robusta,0,0,0,NA,NA,0,0,0,NA,NA
